流転の縁,好看,1584358382,0,0,0,10
突然就会应该,可以 科普番,1584335685,0,0,0,10
稳如老狗白鸽鸽,啊啊啊啊啊！好可爱啊，超好看,1584331546,0,0,0,10
火系魔法X,好棒呀，适合二刷三刷,1584281658,0,0,1,10
流云南盛,挺治愈的番，顺便让我的知识增加了。男女主人设我可，各个细胞各有千秋。推荐大家去哔哩哔哩漫画看《工作细胞black》，超级致郁。,1584242158,0,0,1,10
幼儿实况主小T,血小板真是天使,1584196945,0,0,2,10
夐炯琼,敲好看～为了这个充大会员(//∇//),1584176148,0,0,2,10
带带大师球_,科普向，还不错,1584149431,0,0,1,8
饭饭酱ツ,做的很棒，科普知识也很有趣,1584192047,0,0,0,10
馄饨猫,给上层的管理者看到了ACG在传播知识和正能量上的潜力，翻身之作,1584006073,0,0,2,10
lIlIlIlIlIlllI,真的很棒！,1584121692,0,0,0,10
爱飞波音738的洞幺两拐,牛批,1584116725,0,0,0,10
小旭emmm,好看好看好看,1584090918,0,0,0,10
my跨润肤FUN,太好看了,1584081023,0,0,0,10
长河渐落晓尘星,我竟然在B站学生物！！,1584065912,0,0,0,10
来自异世界的苏玲儿,追这部番真的是断断续续的。真的是一部脑洞大开的番剧，希望能出第二季，爱了爱了(*˘︶˘*).。.:*,1583993097,0,0,1,10
kaitiann,作为科普番来说蛮有趣的,1582900360,0,0,1,10
阿和的小迷妹一只,孩子想献血,1584021850,0,0,0,10
色孽皇子,hao,1584000061,0,0,0,10
沐瑾oQWQo,论竞争上岗和分配工作的优劣,1583993157,0,0,0,10
生无可恋派大星,太可爱啦，再来一遍,1583979173,0,0,0,10
是起起呀,。。。挺好,1583977222,0,0,0,8
BBvvvvBB,超强科普番，生物课必备！不过这剧情是真好看,1583934989,0,0,1,10
舍长大大大,好看，喜欢,1583937059,0,0,0,10
艾灯草,血小板︎*(๑ºั╰︎╯︎ºั๑)︎,1583923215,0,0,0,10
秋淮,细胞们都很可爱（除了病毒啊），把生物课上听不下的东西听下去了，这点很棒,1583905924,0,0,0,10
SPIDER杨,真的，血小板太可爱了啊！！！,1583901852,0,0,0,10
多谢阅读,复习中学生物,1583900349,0,0,0,10
明朝少年邀同醉,学到不少知识，各个人物我也很喜,1583897203,0,0,0,10
弹幕姬漫语为您服务,这部番很好，构思新颖，画风精湛，声优也很用心，配的淋漓尽致，是不是出现的颜艺部分也很好玩，好评,1583895231,0,0,0,8
YTH_凡纳斯克,我喜欢,1531615783,0,0,0,10
每日仙放送的老板,我太爱这些菜包了( ￣▽￣)σ,1583875998,0,0,0,10
爱吃猫的鲈鱼,nice,1583856702,0,0,0,10
傻落篱,一天一顿饭吃的少细胞会没力气吗（滑稽）,1583834139,0,0,0,10
春风桃中研磨画遍繁华,好看,1583806365,0,0,0,10
雀巢咖啡水果味,好看！！！！,1583804164,0,0,0,10
菌丝桑,绝佳作品，但是经费感人。。第二季一定预算充足吧！对吧！！,1583802369,0,0,0,8
超电磁炮黑琴赛高,这是一部能推荐给没入动漫坑妹子的动漫,1583768204,0,0,1,10
墨--白,自从看了这个番，我生物没好好上课也会做题,1583720997,0,0,1,10
馨馨要努力,从来没有想过我会这么喜欢生物,1583789188,0,0,0,10
吾妻梅花十三,整体节奏轻松愉快，让人回味无穷,1583773360,0,0,0,10
魔法学院里的麻瓜,good,1583759158,0,0,0,10
蓝冰瓜,我刚发现我没给我的入宅作打分...评价一下就是，工作细胞后期确实有经费不足的现象，但是还算是上乘之作，而且的确很有趣，漫改也做出了原版的味道，而且很多地方的情节生动性超越了原版。我第一次看的番，补票了,1583757304,0,0,0,10
洛韵丶,非常喜欢工作细胞,1583746313,0,0,0,10
泠七OvO,她也许会经常迷路，但她的心从未迷失方向。再看一遍依旧好看(•͈˽•͈),1583731677,0,0,0,10
京落染晨辉,好看！！！,1583724406,0,0,0,10
加来文一,寓教于乐嘛,1583724346,0,0,0,10
宇智波佐助mc,nb,1583721182,0,0,0,8
阿尔托莉娅A,看完第八集决定打分，我觉得本作剧情安排中规中矩吧，五分的理由是我讲真学到了不少,1583718270,0,0,0,10
麦基克田,做的很棒，不仅剧情有趣，内容新颖，还让我们涨了知识，并且有几集一些细节体现了更深的立意，真的太棒了,1583695229,0,0,0,10
澪二零,血小板太可爱了吧,1583685238,0,0,0,8
丿混沌丨暗影丿,极其推荐!!!_(:з」∠)_,1583684991,0,0,0,10
撕鸡佬,赛高！,1583682952,0,0,0,10
京成小野,现在才追完qaq不过真的特别好看~,1583673337,0,0,0,10
低龄痴汉,奥利给,1583647685,0,0,0,10
浪荡丨鸠书,太好看了,1583630780,0,0,0,10
蔡浅灯,www为什么我的细胞比我还强？为什么我的细胞都开始谈恋爱了我还是母胎solo？wwwww,1583626664,0,0,0,10
史莱姆怎么写,当年这部番刚刚结束，仿佛缘分一般，我刚好开始学生物必修里人和高等动物的免疫调节，我奇迹般地在没有预习过的情况下全部掌握，甚至可以刷题，那几周的周测是我最辉煌的时候啦！太喜欢这种科普番了,1583597345,0,0,1,10
-Aquaman-,我的入宅番，做的很适合新人，血小板好可爱，awsl,1583591679,0,0,1,10
爆肝的崩三舰长,好看,1583569916,0,0,1,10
颜如疯丶,辛苦各位细胞了~我会好好爱护自己的!,1583605849,0,0,0,10
柒柒困柒柒,要对自己好一点了！！！,1583588031,0,0,0,10
帅气de紫笙,太棒了！！！超级喜欢这部番！！！不仅长知识，还获得了许多快乐，真心的喜欢！！！期待第二季的到来！！！,1583558365,0,0,0,10
木下川,很有趣,1583558032,0,0,0,10
一大清一,长知识了 看一集暂停了十多次看知识点。,1583557135,0,0,0,10
蓝天白云细水,话不多说，好看！,1538396294,0,0,0,10
ニノのせん,喜欢知识番！！！！,1583507368,0,0,0,10
大锅豁冰阔落,给入宅番一个面子,1583502617,0,0,0,10
